DZCode,DZName,TotPop2022,area_hectares,area_km2
S01014383,Hunter's Quay - 04,728,21.4,0.214022
S01014384,Hunter's Quay - 05,642,24.61,0.24607
S01014385,Hunter's Quay - 06,788,16.12,0.16123
S01014386,Hunter's Quay - 07,454,43.92,0.439247
S01014387,Dunoon - 01,491,15.2,0.15206
S01014388,Dunoon - 02,487,18.1,0.180988
S01014389,Dunoon - 03,551,11.97,0.119638
S01014390,Dunoon - 04,686,14.36,0.143606
S01014391,Dunoon - 05,646,24.06,0.240536
S01014392,Dunoon - 06,633,17.27,0.172688
S01014393,Dunoon - 07,858,69.82,0.698144
S01014394,Garelochhead - 01,540,1023.15,10.231484
S01014395,Garelochhead - 02,450,35.26,0.352612
S01014396,Garelochhead - 03,398,684.73,6.847281
S01014397,Garelochhead - 04,772,35.49,0.354917
S01014398,Garelochhead - 05,591,1658.9,16.58913
S01014399,Garelochhead - 06,598,17.53,0.175342
S01014400,Garelochhead - 07,1105,200.49,2.004919
S01014401,Helensburgh West and Rhu - 01,567,114.11,1.141138
S01014402,Helensburgh West and Rhu - 02,635,48.1,0.48099
S01014403,Helensburgh West and Rhu - 03,706,60.62,0.606201
S01014404,Helensburgh West and Rhu - 04,990,51.85,0.518551
S01014405,Helensburgh West and Rhu - 05,834,27.32,0.273197
S01014406,Helensburgh West and Rhu - 06,768,44.25,0.442518
S01014407,Helensburgh North - 01,755,53.08,0.530644
S01014408,Helensburgh North - 02,583,21.84,0.218473
S01014409,Helensburgh North - 03,556,15.45,0.154532
S01014410,Helensburgh North - 04,503,13.5,0.13501
S01014411,Helensburgh North - 05,507,20.13,0.201317
S01014412,Helensburgh North - 06,445,28.08,0.280849
S01014413,Helensburgh North - 07,787,35.73,0.357264
S01014414,Helensburgh Centre - 01,629,22.26,0.222553
S01014415,Helensburgh Centre - 02,889,18.03,0.180235
S01014416,Helensburgh Centre - 03,669,15.03,0.150363
S01014417,Helensburgh Centre - 04,917,50.52,0.505167
S01014418,Helensburgh East - 01,628,11.73,0.117359
S01014419,Helensburgh East - 02,507,10.2,0.101908
S01014420,Helensburgh East - 03,720,22.93,0.229279
S01014421,Helensburgh East - 04,731,22.94,0.229396
S01014422,Helensburgh East - 05,582,33.14,0.331373
S01014423,Helensburgh East - 06,596,9.34,0.093402
S01014424,Helensburgh East - 07,528,16.95,0.169569
S01014425,Lomond Shore - 01,819,17691.2,176.911853
S01014426,Lomond Shore - 02,553,17131.53,171.315288
S01014427,Lomond Shore - 03,492,3555.67,35.556759
S01014428,Lomond Shore - 04,593,40.28,0.402716
S01014429,Lomond Shore - 05,914,23.45,0.234541
S01014430,Lomond Shore - 06,525,23.37,0.233646
S01014431,Balerno - 01,728,1064.27,10.642775
S01014432,Balerno - 02,642,2457.49,24.574865
S01014433,Balerno - 03,467,34.74,0.347409
S01014434,Balerno - 04,437,10.49,0.105034
S01014435,Balerno - 05,864,15.92,0.159204
S01014436,Balerno - 06,568,28.92,0.289179
S01014437,Balerno - 07,739,49.33,0.493275
S01014438,Balerno - 08,565,887.32,8.873304
S01014439,Balerno - 09,844,33.73,0.337243
S01014440,Currie West - 01,674,17.96,0.179615
S01014441,Currie West - 02,2094,758.39,7.583886
S01014442,Currie West - 03,553,10.1,0.10099
S01014443,Currie West - 04,632,18.78,0.18781
S01014444,Currie West - 05,990,18.62,0.186375
S01014445,Currie West - 06,753,14.25,0.142505
S01014446,Currie East - 01,956,19.18,0.191743
S01014447,Currie East - 02,939,43.75,0.437472
S01014448,Currie East - 03,830,17.25,0.172545
S01014449,Currie East - 04,694,132.15,1.321326
S01014450,Baberton and Juniper Green - 01,767,16.94,0.169191
S01014451,Baberton and Juniper Green - 02,776,14.98,0.149884
S01014452,Baberton and Juniper Green - 03,734,29.54,0.295431
S01014453,Baberton and Juniper Green - 04,940,25.01,0.249954
S01014454,Baberton and Juniper Green - 05,700,35.41,0.354102
S01014455,Bonaly and The Pentlands - 01,647,1763.08,17.630879
S01014456,Bonaly and The Pentlands - 02,1116,37.34,0.373402
S01014457,Bonaly and The Pentlands - 03,1077,35.31,0.352917
S01014458,Bonaly and The Pentlands - 04,486,12.23,0.122407
S01014459,Bonaly and The Pentlands - 05,696,29.26,0.292734
S01014460,Bonaly and The Pentlands - 06,642,32.5,0.324927
S01014461,Colinton and Kingsknowe - 01,947,77.51,0.774998
S01014462,Colinton and Kingsknowe - 02,911,52.53,0.525312
S01014463,Colinton and Kingsknowe - 03,1119,77.48,0.774791
S01014464,Colinton and Kingsknowe - 04,682,35.72,0.357167
S01014465,Colinton and Kingsknowe - 05,716,73.39,0.733894
S01014466,Clovenstone and Wester Hailes South - 01,848,14,0.139921
S01014467,Clovenstone and Wester Hailes South - 02,545,7.91,0.079047
S01014468,Clovenstone and Wester Hailes South - 03,678,7.81,0.07807
S01014469,Clovenstone and Wester Hailes South - 04,587,5.34,0.05349
S01014470,Clovenstone and Wester Hailes South - 05,897,6.71,0.067095
S01014471,The Calders - 01,861,9.01,0.089944
S01014472,The Calders - 02,955,15.76,0.157587
S01014473,The Calders - 03,872,8.21,0.082055
S01014474,The Calders - 04,600,11.48,0.114749
S01014475,The Calders - 05,929,28.03,0.280305
S01014476,Murrayburn and Wester Hailes North - 01,725,20.59,0.205877
S01014477,Murrayburn and Wester Hailes North - 02,826,7.32,0.073174
S01014478,Murrayburn and Wester Hailes North - 03,915,13.54,0.135562
S01014479,Murrayburn and Wester Hailes North - 04,498,14.05,0.140519
S01014480,Murrayburn and Wester Hailes North - 05,534,23.83,0.238266
S01014481,Parkhead and Sighthill - 01,832,11.48,0.114827
S01014482,Parkhead and Sighthill - 02,731,11.67,0.116629
S01014483,Parkhead and Sighthill - 03,684,10.4,0.103955
S01014484,Parkhead and Sighthill - 04,741,8.53,0.085256
S01014485,Broomhouse and Bankhead - 01,1069,66.18,0.661765
S01014486,Broomhouse and Bankhead - 02,790,10.59,0.105973
S01014487,Broomhouse and Bankhead - 03,678,9.4,0.093947
S01014488,Broomhouse and Bankhead - 04,869,11.25,0.112547
S01014489,Broomhouse and Bankhead - 05,652,22.67,0.226722
S01014490,Stenhouse and Saughton Mains - 01,575,8.23,0.082287
S01014491,Stenhouse and Saughton Mains - 02,772,14.95,0.149551
S01014492,Stenhouse and Saughton Mains - 03,590,9.21,0.091988
S01014493,Stenhouse and Saughton Mains - 04,695,9.38,0.093797
S01014494,Stenhouse and Saughton Mains - 05,741,55.67,0.556756
S01014495,Stenhouse and Saughton Mains - 06,1070,21.11,0.210973
S01014496,Stenhouse and Saughton Mains - 07,751,14.27,0.142652
S01014497,Stenhouse and Saughton Mains - 08,588,8.09,0.080909
S01014498,Longstone - 01,1252,24.06,0.240603
S01014499,Longstone - 02,551,9.69,0.096869
S01014500,Longstone - 03,541,9.18,0.091669
S01014501,Longstone - 04,598,7.35,0.073477
S01014502,Longstone - 05,724,16.65,0.166344
S01014503,Longstone - 06,1084,22.86,0.228474
S01014504,Slateford and Chesser - 01,894,25.81,0.25808
S01014505,Slateford and Chesser - 02,1310,26.62,0.266331
S01014506,Slateford and Chesser - 03,826,10.4,0.103987
S01014507,Slateford and Chesser - 04,673,9.71,0.096976
S01014508,Slateford and Chesser - 05,857,8.69,0.086751
S01014509,Slateford and Chesser - 06,919,9.08,0.090825
S01014510,Gorgie West - 01,689,4.98,0.049817
S01014511,Gorgie West - 02,563,2.52,0.025194
S01014512,Gorgie West - 03,581,9.43,0.094268
S01014513,Gorgie West - 04,922,12.03,0.120262
S01014514,Gorgie West - 05,822,35.9,0.358977
S01014515,Gorgie West - 06,897,14.84,0.14845
S01014516,Gorgie West - 07,923,3.3,0.033069
S01014517,Gorgie East - 01,792,4.65,0.046429
S01014518,Gorgie East - 02,836,23.09,0.23096
S01014519,Gorgie East - 03,864,4.4,0.044074
S01014520,Gorgie East - 04,423,2.69,0.026801
S01014521,Gorgie East - 05,610,2.36,0.023662
S01014522,Shandon - 01,672,3.12,0.03131
S01014523,Shandon - 02,806,12.16,0.121734
S01014524,Shandon - 03,1094,8.86,0.088637
S01014525,Shandon - 04,672,4.23,0.042273
S01014526,Shandon - 05,936,22.15,0.221612
S01014527,Shandon - 06,1124,11.05,0.110599
S01014528,Craiglockhart - 01,754,19.74,0.197374
S01014529,Craiglockhart - 02,1129,30.28,0.302755
S01014530,Craiglockhart - 03,853,24.5,0.244911
S01014531,Craiglockhart - 04,934,63.32,0.633155
S01014532,Craiglockhart - 05,521,14.45,0.144533
S01014533,Craiglockhart - 06,650,31.62,0.316184
S01014534,Morningside West and Craighouse - 01,955,56.51,0.565147
S01014535,Morningside West and Craighouse - 02,807,11.7,0.117097
S01014536,Morningside West and Craighouse - 03,1055,8.28,0.082755
S01014537,Morningside West and Craighouse - 04,782,10.74,0.107377
S01014538,Morningside West and Craighouse - 05,869,9.57,0.095656
S01014539,Greenbank and The Braids - 01,798,12.99,0.1298
S01014540,Greenbank and The Braids - 02,1052,57.13,0.571191
S01014541,Greenbank and The Braids - 03,914,37.32,0.373189
S01014542,Greenbank and The Braids - 04,558,13.34,0.133356
S01014543,Greenbank and The Braids - 05,975,28.03,0.280331
S01014544,Colinton Mains and Firrhill - 01,891,14.13,0.141452
S01014545,Colinton Mains and Firrhill - 02,824,18.27,0.182716
S01014546,Colinton Mains and Firrhill - 03,886,25.82,0.258282
S01014547,Colinton Mains and Firrhill - 04,677,9.12,0.091153
S01014548,Colinton Mains and Firrhill - 05,711,8.02,0.080236
S01014549,Oxgangs - 01,886,13.75,0.137599
S01014550,Oxgangs - 02,786,7.92,0.079154
S01014551,Oxgangs - 03,759,13.83,0.138128
S01014552,Oxgangs - 04,443,7.28,0.072725
S01014553,Comiston and Swanston - 01,449,13.77,0.137717
S01014554,Comiston and Swanston - 02,628,17.44,0.174373
S01014555,Comiston and Swanston - 03,622,20.6,0.205874
S01014556,Comiston and Swanston - 04,606,12.79,0.127987
S01014557,Comiston and Swanston - 05,682,15.43,0.154346
S01014558,Comiston and Swanston - 06,531,17.42,0.174267
S01014559,Comiston and Swanston - 07,773,25.22,0.252295
S01014560,Comiston and Swanston - 08,880,23.89,0.238819
S01014561,Fairmilehead - 01,874,15.57,0.155582
S01014562,Fairmilehead - 02,515,5.66,0.056615
S01014563,Fairmilehead - 03,582,12.27,0.122753
S01014564,Fairmilehead - 04,588,13.08,0.130871
S01014565,Fairmilehead - 05,696,12.62,0.126156
S01014566,Fairmilehead - 06,576,15.4,0.154077
S01014567,Fairmilehead - 07,783,40.31,0.40312
S01014568,Fairmilehead - 08,771,85.23,0.852529
S01014569,Gilmerton South and the Murrays - 01,1023,35.08,0.350854
S01014570,Gilmerton South and the Murrays - 02,801,19.17,0.191742
S01014571,Gilmerton South and the Murrays - 03,640,7.33,0.073349
S01014572,Gilmerton South and the Murrays - 04,594,23.41,0.234056
S01014573,Gilmerton South and the Murrays - 05,679,31.69,0.317018
S01014574,Gilmerton South and the Murrays - 06,632,16.78,0.16778
S01014575,Burdiehouse South and Broomhills - 01,618,17.88,0.178862
S01014576,Burdiehouse South and Broomhills - 02,591,10.42,0.104138
S01014577,Burdiehouse South and Broomhills - 03,762,16.93,0.169238
S01014578,Burdiehouse South and Broomhills - 04,645,14.43,0.144174
S01014579,Burdiehouse South and Broomhills - 05,782,599.86,5.998653
S01014580,Mortonhall and Anwickhill - 01,775,142.2,1.421969
S01014581,Mortonhall and Anwickhill - 02,902,21.14,0.211237
S01014582,Mortonhall and Anwickhill - 03,799,29.12,0.291289
S01014583,"Gracemount, Southhouse and Burdiehouse - 01",719,13.95,0.139462
S01014584,"Gracemount, Southhouse and Burdiehouse - 02",1017,26.05,0.260493
S01014585,"Gracemount, Southhouse and Burdiehouse - 03",930,10.59,0.105942
S01014586,"Gracemount, Southhouse and Burdiehouse - 04",838,10.46,0.104643
S01014587,"Gracemount, Southhouse and Burdiehouse - 05",749,18.82,0.188227
S01014588,"Gracemount, Southhouse and Burdiehouse - 06",644,15.62,0.156264
S01014589,"Gracemount, Southhouse and Burdiehouse - 07",853,15.6,0.156007
S01014590,Hyvots and Gilmerton - 01,651,10.87,0.108649
S01014591,Hyvots and Gilmerton - 02,780,15.33,0.153316
S01014592,Hyvots and Gilmerton - 03,646,12.62,0.12618
S01014593,Hyvots and Gilmerton - 04,865,17.01,0.170156
S01014594,Hyvots and Gilmerton - 05,834,14.39,0.143963
S01014595,Fernieside and Moredun South - 01,566,10.51,0.10514
S01014596,Fernieside and Moredun South - 02,961,21.77,0.217861
S01014597,Fernieside and Moredun South - 03,659,9.64,0.096468
S01014598,Fernieside and Moredun South - 04,733,14.18,0.141759
S01014599,Fernieside and Moredun South - 05,812,96.58,0.965856
S01014600,Moredun and Craigour - 01,582,2.91,0.029006
S01014601,Moredun and Craigour - 02,832,10.5,0.104975
S01014602,Moredun and Craigour - 03,732,13.45,0.134519
S01014603,Moredun and Craigour - 04,791,20.34,0.203317
S01014604,Liberton East - 01,713,21,0.210032
S01014605,Liberton East - 02,663,13.57,0.135663
S01014606,Liberton East - 03,710,23.04,0.230384
S01014607,Liberton East - 04,756,57.21,0.572181
S01014608,Liberton West - 01,940,26.58,0.265858
S01014609,Liberton West - 02,694,18.64,0.18633
S01014610,Liberton West - 03,625,22.79,0.227896
S01014611,Liberton West - 04,526,9.86,0.098566
S01014612,Liberton West - 05,523,13.7,0.137114
S01014613,The Inch - 01,912,12.75,0.127485
S01014614,The Inch - 02,1025,16.61,0.166254
S01014615,The Inch - 03,706,10.2,0.10199
S01014616,The Inch - 04,793,11.1,0.11087
S01014617,The Inch - 05,601,8,0.080058
S01014618,The Inch - 06,908,45.91,0.459137
S01014619,"Blackford, West Mains and Mayfield Road - 01",1308,384.91,3.849137
S01014620,"Blackford, West Mains and Mayfield Road - 02",778,14.04,0.14049
S01014621,"Blackford, West Mains and Mayfield Road - 03",420,5.7,0.056954
S01014622,"Blackford, West Mains and Mayfield Road - 04",806,7.55,0.075496
S01014623,"Blackford, West Mains and Mayfield Road - 05",760,9.76,0.097518
S01014624,"Blackford, West Mains and Mayfield Road - 06",848,10.43,0.104243
S01014625,"Blackford, West Mains and Mayfield Road - 07",821,16.89,0.168953
S01014626,"Blackford, West Mains and Mayfield Road - 08",1056,24.72,0.247093
S01014627,Prestonfield - 01,871,32.68,0.326749
S01014628,Prestonfield - 02,850,10.49,0.104906
S01014629,Prestonfield - 03,879,82.86,0.828756
S01014630,Prestonfield - 04,807,7.46,0.074752
S01014631,Newington and Dalkeith Road - 01,875,21.95,0.219502
S01014632,Newington and Dalkeith Road - 02,933,15.11,0.151016
S01014633,Newington and Dalkeith Road - 03,2977,25.32,0.253133
S01014634,Newington and Dalkeith Road - 04,699,3.41,0.034194
S01014635,Newington and Dalkeith Road - 05,1654,5.3,0.052967
S01014636,The Grange - 01,1196,14.08,0.140818
S01014637,The Grange - 02,625,6.98,0.069807
S01014638,The Grange - 03,797,11.14,0.111488
S01014639,The Grange - 04,609,17.18,0.171775
S01014640,The Grange - 05,743,15.34,0.153328
S01014641,The Grange - 06,994,20.21,0.202189
S01014642,The Grange - 07,930,31.53,0.315273
S01014643,Marchmont East and Sciennes - 01,1053,7.29,0.072995
S01014644,Marchmont East and Sciennes - 02,868,4.31,0.043115
S01014645,Marchmont East and Sciennes - 03,728,11.42,0.114164
S01014646,Marchmont East and Sciennes - 04,646,3.42,0.034178
S01014647,Marchmont East and Sciennes - 05,805,6.35,0.063547
S01014648,Marchmont East and Sciennes - 06,658,3.23,0.032413
S01014649,Marchmont West - 01,954,4.39,0.04388
S01014650,Marchmont West - 02,680,2.73,0.027307
S01014651,Marchmont West - 03,520,2.22,0.022275
S01014652,Marchmont West - 04,802,2.89,0.028857
S01014653,Marchmont West - 05,692,2.49,0.024917
S01014654,Marchmont West - 06,486,1.82,0.018129
S01014655,Marchmont West - 07,893,15.73,0.157387
S01014656,Morningside East - 01,432,32.27,0.32276
S01014657,Morningside East - 02,595,25.25,0.2525
S01014658,Morningside East - 03,892,14.6,0.146093
S01014659,Morningside East - 04,714,17.43,0.174278
S01014660,Morningside East - 05,570,11.67,0.116642
S01014661,Morningside East - 06,606,5.42,0.054195
S01014662,Morningside East - 07,629,5.09,0.0509
S01014663,Morningside East - 08,831,4.17,0.041594
S01014664,Merchiston and Greenhill - 01,724,25.8,0.257998
S01014665,Merchiston and Greenhill - 02,906,38.78,0.387783
S01014666,Merchiston and Greenhill - 03,755,12.7,0.127118
S01014667,Merchiston and Greenhill - 04,950,16.18,0.161921
S01014668,Merchiston and Greenhill - 05,724,10.98,0.109888
S01014669,Merchiston and Greenhill - 06,863,20.44,0.204358
S01014670,Bruntsfield - 01,685,5.91,0.05911
S01014671,Bruntsfield - 02,930,7.3,0.073025
S01014672,Bruntsfield - 03,832,4.76,0.047762
S01014673,Bruntsfield - 04,865,3.35,0.033462
S01014674,Bruntsfield - 05,864,7.89,0.078858
S01014675,Bruntsfield - 06,712,3.89,0.038973
S01014676,Bruntsfield - 07,813,4.19,0.041802
S01014677,Polwarth - 01,939,3.21,0.032209
S01014678,Polwarth - 02,890,5.27,0.052867
S01014679,Polwarth - 03,628,3.98,0.039821
S01014680,Polwarth - 04,829,9.21,0.092131
S01014681,Polwarth - 05,838,3.51,0.035157
S01014682,Polwarth - 06,560,1.42,0.014093
S01014683,Dalry - 01,521,2.16,0.021563
S01014684,Dalry - 02,956,4.42,0.044141
S01014685,Dalry - 03,922,7.8,0.078142
S01014686,Dalry - 04,1016,6.66,0.066658
S01014687,Fountainbridge - 01,1701,17.64,0.176445
S01014688,Fountainbridge - 02,786,2.5,0.025052
S01014689,Fountainbridge - 03,647,2.58,0.025847
S01014690,Fountainbridge - 04,902,3.7,0.03694
S01014691,Fountainbridge - 05,935,3.19,0.031967
S01014692,Tollcross - 01,521,9.63,0.09627
S01014693,Tollcross - 02,1078,23.39,0.23407
S01014694,Tollcross - 03,915,7.62,0.076274
S01014695,Tollcross - 04,903,3.49,0.034926
S01014696,Tollcross - 05,886,5.06,0.050561
S01014697,Tollcross - 06,747,2.77,0.02766
S01014698,Tollcross - 07,839,4.15,0.041515
S01014699,Tollcross - 08,1135,4.98,0.049724
S01014700,Southside - 01,784,2.82,0.028215
S01014701,Southside - 02,435,2.14,0.021388
S01014702,Southside - 03,1136,5.23,0.052318
S01014703,Southside - 04,753,2.71,0.02706
S01014704,Southside - 05,643,3.16,0.031451
S01014705,Meadows - 01,1093,13.97,0.1397
S01014706,Meadows - 02,1331,32.67,0.326661
S01014707,Meadows - 03,534,2.31,0.023195
S01014708,Meadows - 04,558,10.19,0.101976
S01014709,Meadows - 05,1258,16.51,0.165045
S01014710,"Old Town, Princes Street and Leith Street - 01",912,11.78,0.117791
S01014711,"Old Town, Princes Street and Leith Street - 02",865,19.16,0.191585
S01014712,"Old Town, Princes Street and Leith Street - 03",665,13.73,0.137316
S01014713,"Old Town, Princes Street and Leith Street - 04",1039,51.78,0.517781
S01014714,"Old Town, Princes Street and Leith Street - 05",1387,11.65,0.11665
S01014715,"Old Town, Princes Street and Leith Street - 06",1372,10.27,0.102723
S01014716,"Canongate, St. Leonards and Dumbiedykes - 01",775,5,0.050012
S01014717,"Canongate, St. Leonards and Dumbiedykes - 02",1215,5.99,0.059768
S01014718,"Canongate, St. Leonards and Dumbiedykes - 03",697,8.02,0.080126
S01014719,"Canongate, St. Leonards and Dumbiedykes - 04",1500,9.45,0.094557
S01014720,"Canongate, St. Leonards and Dumbiedykes - 05",1127,238.34,2.383313
S01014721,"Canongate, St. Leonards and Dumbiedykes - 06",2099,15.73,0.157451
S01014722,Abbeyhill - 01,1376,9.6,0.096024
S01014723,Abbeyhill - 02,616,2.75,0.027323
S01014724,Abbeyhill - 03,789,31.26,0.312562
S01014725,Meadowbank and Abbeyhill North - 01,736,3.72,0.037236
S01014726,Meadowbank and Abbeyhill North - 02,821,5.59,0.05583
S01014727,Meadowbank and Abbeyhill North - 03,520,6.88,0.068815
S01014728,Meadowbank and Abbeyhill North - 04,1310,20.98,0.209827
S01014729,Meadowbank and Abbeyhill North - 05,526,3.35,0.033481
S01014730,Meadowbank and Abbeyhill North - 06,667,2.23,0.022308
S01014731,Meadowbank and Abbeyhill North - 07,675,21.24,0.212499
S01014732,Willowbrae and Duddingston Village - 01,902,4.59,0.045907
S01014733,Willowbrae and Duddingston Village - 02,668,6.87,0.068706
S01014734,Willowbrae and Duddingston Village - 03,624,5.29,0.052764
S01014735,Willowbrae and Duddingston Village - 04,970,41.36,0.413597
S01014736,Willowbrae and Duddingston Village - 05,442,10.86,0.108694
S01014737,Willowbrae and Duddingston Village - 06,898,10.48,0.104952
S01014738,Willowbrae and Duddingston Village - 07,552,97.48,0.974844
S01014739,Greendykes - 01,673,31.93,0.319273
S01014740,Greendykes - 02,811,8.36,0.083543
S01014741,Greendykes - 03,579,10.67,0.1067
S01014742,Greendykes - 04,778,5.89,0.058966
S01014743,Greendykes - 05,684,89.71,0.897138
S01014744,Craigmillar - 01,764,14.02,0.140321
S01014745,Craigmillar - 02,590,8.85,0.088488
S01014746,Craigmillar - 03,723,17.25,0.172531
S01014747,Craigmillar - 04,1094,9.83,0.098271
S01014748,Craigmillar - 05,750,10.08,0.100905
S01014749,Niddrie - 01,732,8.16,0.081502
S01014750,Niddrie - 02,866,10.85,0.108392
S01014751,Niddrie - 03,1031,15.92,0.159273
S01014752,Niddrie - 04,677,10.18,0.101841
S01014753,Niddrie - 05,494,8.94,0.089488
S01014754,Niddrie - 06,763,19.47,0.194695
S01014755,"Bingham, Magdalene and The Christians - 01",1125,68.26,0.682842
S01014756,"Bingham, Magdalene and The Christians - 02",523,7.43,0.07424
S01014757,"Bingham, Magdalene and The Christians - 03",484,8.31,0.083122
S01014758,"Bingham, Magdalene and The Christians - 04",675,18.66,0.186728
S01014759,"Bingham, Magdalene and The Christians - 05",569,18.04,0.18041
S01014760,"Jewel, Brunstane and Newcraighall - 01",500,16.05,0.160529
S01014761,"Jewel, Brunstane and Newcraighall - 02",798,13.91,0.139159
S01014762,"Jewel, Brunstane and Newcraighall - 03",1068,16.05,0.160514
S01014763,"Jewel, Brunstane and Newcraighall - 04",458,84.92,0.849315
S01014764,"Jewel, Brunstane and Newcraighall - 05",747,16.53,0.165347
S01014765,"Jewel, Brunstane and Newcraighall - 06",588,22.61,0.226141
S01014766,"Jewel, Brunstane and Newcraighall - 07",792,71.31,0.713018
S01014767,Joppa - 01,1090,38.55,0.38561
S01014768,Joppa - 02,680,19.22,0.192188
S01014769,Joppa - 03,979,23.2,0.232119
S01014770,Joppa - 04,676,11.36,0.113632
S01014771,Joppa - 05,548,12.02,0.120215
S01014772,Joppa - 06,1001,15.74,0.157357
S01014773,Portobello - 01,589,6.13,0.061328
S01014774,Portobello - 02,653,14.68,0.146786
S01014775,Portobello - 03,731,9.26,0.092758
S01014776,Portobello - 04,473,6.09,0.06083
S01014777,Portobello - 05,553,5.55,0.055471
S01014778,Portobello - 06,842,17.66,0.176579
S01014779,Portobello - 07,652,42.77,0.427567
S01014780,Duddingston and Durhams - 01,620,59.99,0.599799
S01014781,Duddingston and Durhams - 02,998,22.44,0.224548
S01014782,Duddingston and Durhams - 03,761,21.84,0.218431
S01014783,Duddingston and Durhams - 04,697,19.83,0.198385
S01014784,Duddingston and Durhams - 05,813,18.08,0.18093
S01014785,Mountcastle - 01,624,8.01,0.080164
S01014786,Mountcastle - 02,452,14.77,0.147615
S01014787,Mountcastle - 03,996,14.25,0.142603
S01014788,Mountcastle - 04,496,19.84,0.198513
S01014789,Northfield and Piershill - 01,903,12.77,0.127758
S01014790,Northfield and Piershill - 02,1001,15.28,0.152736
S01014791,Northfield and Piershill - 03,447,6.25,0.0624
S01014792,Northfield and Piershill - 04,1000,9.9,0.099095
S01014793,Craigentinny - 01,445,17.88,0.178895
S01014794,Craigentinny - 02,624,14.8,0.14801
S01014795,Craigentinny - 03,1073,62.97,0.629544
S01014796,Craigentinny - 04,626,15.88,0.158878
S01014797,Restalrig (Loganlea) and Craigentinny West - 01,569,10.8,0.107962
S01014798,Restalrig (Loganlea) and Craigentinny West - 02,591,9.77,0.097751
S01014799,Restalrig (Loganlea) and Craigentinny West - 03,501,5.44,0.054497
S01014800,Restalrig (Loganlea) and Craigentinny West - 04,541,5.83,0.058222
S01014801,Restalrig (Loganlea) and Craigentinny West - 05,1015,8,0.079983
S01014802,Restalrig and Lochend - 01,603,9.19,0.092008
S01014803,Restalrig and Lochend - 02,515,7.28,0.072866
S01014804,Restalrig and Lochend - 03,725,11.81,0.118138
S01014805,Restalrig and Lochend - 04,526,10.19,0.102036
S01014806,Restalrig and Lochend - 05,900,9.22,0.092236
S01014807,Restalrig and Lochend - 06,611,6.07,0.060731
S01014808,Leith (Hermitage and Prospect Bank) - 01,577,6.11,0.061092
S01014809,Leith (Hermitage and Prospect Bank) - 02,854,5.8,0.057989
S01014810,Leith (Hermitage and Prospect Bank) - 03,673,6.08,0.060818
S01014811,Leith (Hermitage and Prospect Bank) - 04,827,5.82,0.058355
S01014812,Leith (Hermitage and Prospect Bank) - 05,977,15.68,0.15663
S01014813,Leith (Hermitage and Prospect Bank) - 06,512,5.94,0.059548
S01014814,Western Harbour and Leith Docks - 01,611,39.11,0.39117
S01014815,Western Harbour and Leith Docks - 02,523,20.6,0.20585
S01014816,Western Harbour and Leith Docks - 03,517,171.02,1.710197
S01014817,Western Harbour and Leith Docks - 04,522,2.67,0.02676
S01014818,Western Harbour and Leith Docks - 05,668,56.48,0.56473
S01014819,Western Harbour and Leith Docks - 06,458,1.98,0.01984
S01014820,Western Harbour and Leith Docks - 07,845,32.42,0.324171
S01014821,Western Harbour and Leith Docks - 08,538,3.12,0.031254
S01014822,Western Harbour and Leith Docks - 09,629,10.98,0.109785
S01014823,North Leith and Newhaven - 01,759,7.96,0.079511
S01014824,North Leith and Newhaven - 02,940,11.7,0.116978
S01014825,North Leith and Newhaven - 03,1113,10.14,0.101373
S01014826,North Leith and Newhaven - 04,589,6.23,0.062207
S01014827,North Leith and Newhaven - 05,723,4.99,0.049996
S01014828,North Leith and Newhaven - 06,934,7.33,0.073413
S01014829,The Shore and Constitution Street - 01,1074,10.8,0.108125
S01014830,The Shore and Constitution Street - 02,808,6.69,0.06686
S01014831,The Shore and Constitution Street - 03,1150,3.56,0.035508
S01014832,The Shore and Constitution Street - 04,501,2.93,0.029331
S01014833,The Shore and Constitution Street - 05,628,5.48,0.054741
S01014834,The Shore and Constitution Street - 06,423,2.83,0.028326
S01014835,The Shore and Constitution Street - 07,398,2.46,0.02462
S01014836,Great Junction Street - 01,696,6.88,0.068799
S01014837,Great Junction Street - 02,961,5,0.050041
S01014838,Great Junction Street - 03,977,6.33,0.063433
S01014839,Great Junction Street - 04,521,6.06,0.060652
S01014840,Great Junction Street - 05,644,5.52,0.055136
S01014841,South Leith - 01,959,21.68,0.216715
S01014842,South Leith - 02,433,4.5,0.044922
S01014843,South Leith - 03,914,12.41,0.12405
S01014844,South Leith - 04,921,4.38,0.043661
S01014845,South Leith - 05,992,7.03,0.070459
S01014846,South Leith - 06,727,3.7,0.036822
S01014847,Easter Road and Hawkhill Avenue - 01,832,9.03,0.090404
S01014848,Easter Road and Hawkhill Avenue - 02,654,8.84,0.088366
S01014849,Easter Road and Hawkhill Avenue - 03,1044,8.83,0.08819
S01014850,Easter Road and Hawkhill Avenue - 04,1040,4.16,0.041582
S01014851,Leith (Albert Street) - 01,934,4.32,0.043151
S01014852,Leith (Albert Street) - 02,836,4.32,0.043157
S01014853,Leith (Albert Street) - 03,841,3.42,0.034212
S01014854,Leith (Albert Street) - 04,599,3.1,0.030889
S01014855,Hillside and Calton Hill - 01,866,4.87,0.048754
S01014856,Hillside and Calton Hill - 02,645,3.73,0.037334
S01014857,Hillside and Calton Hill - 03,745,5.49,0.054858
